InChIKey,SMILES
YHYKUSGACIYRML-UHFFFAOYSA-N,CN1C(N)=NC(C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O
AACUJFVOHGRMTR-UHFFFAOYSA-N,CC1OCC2(c3cc(NC(=O)c4cnc(C(F)F)cn4)ccc3F)N=C(N)SCC12
AARMPADYPUTMDB-UHFFFAOYSA-N,Cc1cccc(S(=O)(=O)N2CCNC(C(O)C(Cc3cc(F)cc(F)c3)NC(=O)c3cc(C(=O)NC(C)c4ccccc4)cc(N4CCCCS4(=O)=O)c3)C2)c1
ABHNHNZCHPWXFW-UHFFFAOYSA-N,Cc1cc(N)cc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NC1c2ccccc2CC1O
ACLGFPBLVWSDHZ-UHFFFAOYSA-N,CCC(C)C(NC(=O)C(CC(O)C(CC1CCCCC1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(C)C)C(=O)NCc1ccccn1
AEIQMTCHERRLBO-UHFFFAOYSA-N,C=CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(=O)C(F)(F)C(=O)OCC
AFFLGGQVNFXPEV-UHFFFAOYSA-N,C=CCCCCCCCC
AFIXYRQKZYZNRD-UHFFFAOYSA-N,CCC(C)C(NC(=O)C(CC(O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)N(C)C(=O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)COP(=O)(O)O)C(C)C)C(=O)NCc1ccccn1
AFJAHDBTQQSSKB-UHFFFAOYSA-N,CC(C)(C)COc1cc(F)c2c(c1)C1(COCCC(N)=N1)c1cc(-c3cccnc3F)ccc1O2
AGSXLSIXECZYEP-UHFFFAOYSA-N,CCOC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(N)=O
AHANXAKGNAKFSK-UHFFFAOYSA-N,CCC=CCC=CCC=CCCCCCCCCCC(=O)O
AHFHSIVCLPAESC-UHFFFAOYSA-N,C=C(CC12CC(C)CC(O1)C1OC3(CC1O2)NCC(C)CC3C)C1OC(O)(C(O)C2CC3OC4(CCC5(C=CCC(C=CCCC(=O)O)O5)O4)C(C)CC3O2)C(C)CC1C
AHIJTWCJGCWHMT-UHFFFAOYSA-N,O=C(O)CCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2
AHOUBRCZNHFOSL-UHFFFAOYSA-N,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1
AHRZKIYTKFDQGC-UHFFFAOYSA-N,Cc1ccccc1-c1ccc2nc(N)c(CC(C)C(=O)NCCC(C)(C)C)cc2c1
AHWCYDXQIXZVRK-UHFFFAOYSA-N,CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NC(C)(C)C
AJVQSIIGUPEAOP-UHFFFAOYSA-N,CC(C)(C)c1cccc(CNCC(O)C(Cc2cc(F)cc(F)c2)NC(=O)C2CN(Cc3cc(F)cc(F)c3)C(=O)N2)c1
AKRUNYGNLDPBSW-UHFFFAOYSA-N,CC(C)CC(=O)NC(C(=O)NC(C(=O)NC(CC(C)C)C(O)CC(=O)NC(C)C(=O)NC(CC(C)C)C(O)CO)C(C)C)C(C)C
ALIXZKUBHDEEGT-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(NC(=O)C(NC(=O)OCc1ccccc1)C(C)C)C(C)C)C(O)CC(=O)O
AMCWDMFJILEPQK-UHFFFAOYSA-N,CC(C)C(CC(O)C(CC1CCCCC1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)NC(=O)OCCc1ccccn1
APPLGLBBZPGQBX-UHFFFAOYSA-N,CC(NC(=O)C(NC(=O)C(CCC(=O)O)NCCC1CCCCC1)C(C)O)C(=O)NC(C(=O)O)C(C)C
APTGNANQHRPHDT-UHFFFAOYSA-N,COCC1CCCN1C(=O)c1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CN(S(=O)(=O)c3ccccc3)CCN2)c1
AQLCCKNBQHJPIB-UHFFFAOYSA-N,CN(c1cc(C(=O)O)cc(C(=O)O)c1)S(C)(=O)=O
