CHP_ID,Chinese_herbal_pieces,total_score
CHP01416,红豆杉,430.49911762
CHP04552,香茶菜,378.63154468
CHP00014,艾叶,272.14812938
CHP00689,地黄,234.9589092
CHP01118,甘草,232.8097314
CHP02748,没药,227.40320478
CHP00341,柴胡,226.51273257
CHP06111,灵芝,224.17182407
CHP01886,绞股蓝,212.68473877
CHP00417,川乌,203.42140114
CHP02254,雷公藤,198.05443713
CHP00984,番荔枝,189.89884331
CHP00216,薄荷,183.19159845
CHP00162,白芷,179.20825406
CHP00617,丹参,176.21493492
CHP00030,八角茴香,175.27852664
CHP00360,沉香,174.06438826
CHP00412,川贝母,174.00594504
CHP00513,大黄,159.31101772
CHP00948,莪术,158.34903307
CHP04419,五味子,155.51582354
CHP00168,百部,145.66820073
CHP00355,车前草,145.43446205
CHP00543,板蓝根,145.06877016
CHP03024,牛膝,130.25667634
CHP01717,黄芪,129.81635087
CHP01206,钩藤,125.08489787
CHP00608,大枣,121.52834236
CHP00274,槟榔,119.19020451
CHP00812,冬瓜皮,118.7451777
CHP00019,安息香,118.04999452
CHP00638,当归,117.49344427
CHP01516,胡芦巴,115.75128577
CHP00288,补骨脂,115.4358904
CHP00209,半夏,115.03500681
CHP05190,淫羊藿,113.91261183
CHP01958,金银花,113.64089899
CHP03682,升麻,110.35698667
CHP00039,巴戟天,109.68009918
CHP03423,桑白皮,107.77221898
CHP03319,人参,105.30725693
CHP01898,芥子,104.24983394
CHP01236,枸杞子,102.94166563
CHP00170,百合,102.84794754
CHP00037,巴豆,102.44341568
CHP02098,苦丁茶,101.79256735
CHP00306,藏红花,99.13335278
CHP00121,白毛藤,98.37476682
CHP03229,青蒿,95.60906318
CHP00032,八角莲,93.72952289
CHP00779,丁香,92.3530198
CHP00333,茶叶,92.22129941
CHP05646,紫金牛,91.44071054
CHP02298,连翘,90.86140626
CHP05319,远志,90.47442329
CHP00003,阿魏,89.21617753
CHP00142,白术,88.62637698
CHP00151,白鲜皮,88.50230488
CHP00419,川芎,88.46444406
CHP04565,香加皮,87.12320218
CHP02176,辣木,85.86867397
CHP03635,芍药,84.28806971
CHP01425,红花,84.26375454
CHP02017,桔梗,82.79149075
CHP00229,北沙参,81.91698725
CHP04818,续断,81.19806671
CHP03397,三七,81.15592686
CHP02495,罗汉果,79.66810378
CHP01623,槐花,79.64398427
CHP05675,紫杉,79.14276543
CHP00303,苍术,79.09611369
CHP00519,大戟,78.98896059
CHP01515,胡椒,78.9832964
CHP00212,半枝莲,77.87932834
CHP00720,地榆,77.649878
CHP03049,女贞子,76.88620364
CHP02172,辣椒,76.50486138
CHP01681,黄荆子,75.76067377
CHP01374,黑豆,75.53293775
CHP05477,知母,75.49523128
CHP01508,厚朴,74.570781
CHP01146,干姜,73.00063396
CHP03630,商陆,72.67614334
CHP00857,独活,71.51443898
CHP00431,椿皮,71.50148323
CHP00146,白头翁,70.58932489
CHP00415,川木通,70.24729506
CHP01110,附子,70.14863289
CHP00114,白蔹,69.57783771
CHP02090,苦参,69.37451191
CHP00612,代代花,68.83963591
CHP00201,半边莲,68.53657361
CHP03102,枇杷叶,68.52993178
CHP04075,藤黄,68.48458573
CHP00672,地耳草,68.23256243
CHP02119,苦楝皮,68.09920441
CHP01246,瓜蒌,67.86964096
CHP00048,菝葜,67.6748347
CHP05417,长春花,67.14554911
CHP00422,穿心莲,67.13635755
CHP00258,扁豆,67.13597869
CHP01058,蜂斗菜,66.87843033
CHP00361,陈皮,66.23129841
CHP01801,鸡血藤,65.98386569
CHP00150,白薇,65.92275046
CHP03202,羌活,65.83063662
CHP00884,杜仲,65.19806046
CHP05992,人中白,64.079987
CHP00088,白花菜子,63.730724714
CHP00455,刺桐,63.14833159
CHP03444,沙棘,63.13530701
CHP01999,九里香,62.74638606
CHP01045,风藤,62.62768299
CHP00322,草乌,62.43791383
CHP02546,麻黄,61.64335144
CHP00135,白前,61.25530414
CHP01818,蒺藜,61.17668373
CHP02568,马兜铃,60.36843823
CHP01983,荆芥,59.76796398
CHP00326,侧柏叶,59.3867394
CHP00557,大蒜,59.26040301
CHP03193,前胡,59.19031178
CHP00819,冬葵果,59.18454225
CHP02155,款冬花,58.913555009999996
CHP03198,茜草,58.89751667
CHP03352,乳香,58.56996793
CHP04065,桃仁,58.5665278
CHP02019,菊花,58.27624721
CHP01514,胡黄连,58.19171128
CHP03323,人参叶,58.06879065
CHP01871,降香,57.61164321
CHP02023,菊苣,56.71548161
CHP04231,土槿皮,56.62460995
CHP02037,蒟蒻薯,56.38532816
CHP00252,萹蓄,55.99858849
CHP05782,蟾酥,55.82627177
CHP00241,萆薢,55.2561695
CHP03698,十大功劳叶,55.02153402
CHP01207,钩吻,54.84628004
CHP00885,杜仲叶,54.73785412
CHP00106,白蜡树皮,54.676266489999996
CHP05157,益母草,54.56137405
CHP03683,生姜,54.44717192
CHP05805,蜂胶,52.32311909
CHP01130,甘遂,51.879984
CHP00300,苍耳子,51.63336865
CHP01260,关黄柏,51.2498596
CHP02400,龙胆草,50.92326548
CHP03341,肉苁蓉,50.88428033
CHP02606,麦冬,50.6873026
CHP00187,败酱草,50.19362912
CHP03175,千层塔,49.46770587
CHP01771,藿香,49.34779165
CHP02125,苦木,49.31440883
CHP02566,马齿苋,49.19589105
CHP01561,花椒,48.92445831
CHP00520,大蓟,48.88087962
CHP03716,石斛,48.72679691
CHP00641,党参,48.50827678
CHP02443,芦荟,48.16234404
CHP02842,牡丹皮,47.6864827
CHP03609,山茱萸,47.54161896
CHP02901,木通,47.48351736
CHP00228,北豆根,47.294742389999996
CHP04525,仙茅,46.9767139
CHP02405,龙葵,46.70768698
CHP03808,鼠尾草,46.30643721
CHP02297,连钱草,46.08269076
CHP03461,砂仁,45.99184556
CHP01745,黄药子,45.52481262
CHP00099,白及,45.39982176
CHP00775,丁公藤,45.07304916
CHP00124,白茅根,44.93362478
CHP00424,垂盆草,44.71675127
CHP02756,梅花,44.58654496
CHP01334,海带,44.143402304
CHP02056,决明子,43.69300244
CHP01543,槲寄生,43.62030722
CHP00824,冬凌草,43.41922549
CHP02808,绵萆薢,43.14003539
CHP00350,常山,43.00373035
CHP03663,射干,42.69185144
CHP04466,豨莶草,42.6198983
CHP00238,荜茇,42.54114339
CHP03082,佩兰,42.51763364
CHP02909,木竹子,42.48380035
CHP00384,赤小豆,42.10216824
CHP04083,天冬,41.89332241
CHP00470,翠雀花,41.54490789
CHP02837,墨旱莲,41.3278187
CHP04326,文殊兰,41.30377123
CHP00989,番茄,41.28602219
CHP01367,核桃仁,41.25287876
CHP05051,野菊花,41.06072638
CHP00673,地枫皮,41.03837873
CHP00456,刺五加,40.92283384
CHP01834,夹竹桃,40.59317765
CHP01408,红参,40.10306454
CHP01065,凤尾草,40.09409909
CHP02063,开口箭,39.74007967
CHP02030,橘红,39.71853378
CHP00076,白附子,39.36418498
CHP00458,葱白,39.07392733
CHP00844,豆蔻,38.65771853
CHP04556,香附,38.60436767
CHP00957,鹅不食草,38.48922123
CHP04458,西洋参,38.42943029
CHP01127,甘松,38.34171461
CHP02131,苦树皮,38.2854288
CHP01326,桂枝,38.10176059
CHP00071,白饭豆,38.03645819
CHP01630,黄柏,38.01367656
CHP00059,白菖,37.85171897
CHP05255,余甘子,37.81336377
CHP03643,蛇床子,37.67341534
CHP00093,白花蛇舌草,37.64313391
CHP01824,荠菜,37.29477334
CHP02656,猫须草,37.26615061
CHP00137,白屈菜,37.10472839
CHP01114,覆盆子,37.06797585
CHP03372,赛莨菪,36.81732123
CHP03342,肉豆蔻,36.74657797
CHP03979,苏木,36.66018847
CHP03500,山豆根,36.60552428
CHP00108,白兰花,36.50135242
CHP02406,龙葵根,36.29597851
CHP01382,黑老虎,36.2758616
CHP01964,金樱子,36.04467625
CHP03104,啤酒花,36.03182648
CHP06127,树舌,35.68995257
CHP04389,吴茱萸,35.62340405
CHP00356,车前子,35.41330268
CHP01228,枸骨叶,35.37498317
CHP01187,葛花,35.37420146
CHP00362,柽柳,35.16110258
CHP05376,泽兰,34.62577766
CHP05478,栀子,34.514840480000004
CHP00595,大叶糖胶树,34.42065154
CHP01968,金盏菊,34.34359988
CHP00090,白花丹,34.32648962
CHP01091,佛手,34.19650269
CHP03491,山慈菇,34.12359498
CHP00240,荜澄茄,33.96532618
CHP01073,凤仙透骨草,33.8108509
CHP02621,曼陀罗,33.37336565
CHP02057,蕨菜,33.23966642
CHP02904,木香,33.22320868
CHP02750,玫瑰花,33.07212525
CHP02161,昆明山海棠,32.99742244
CHP01780,鸡骨草,32.75552871
CHP01477,红芪,32.70088215
CHP05489,止泻木皮,32.67677408
CHP03192,牵牛子,32.50890905
CHP01185,葛根,32.49424848
CHP01809,积雪草,32.35225201
CHP01864,姜黄,32.29097568
CHP03704,石菖蒲,32.22038851
CHP01973,筋骨草,31.98925954
CHP04765,薤白,31.79749278
CHP04306,威灵仙,31.74476951
CHP00140,白首乌,31.492333379999998
CHP02585,马钱子,31.40078154
CHP01723,黄芩,31.33638687
CHP05185,银杏,31.31612805
CHP01222,狗牙花,31.0856242
CHP02219,莨菪叶,31.07615626
CHP02896,木棉花,31.03898522
CHP02676,毛萼香茶菜,30.96107637
CHP00186,柏子仁,30.92467582
CHP00972,儿茶,30.92035702
CHP05283,玉兰,30.49687764
CHP02272,藜芦,30.481532089999998
