rank,CHP_ID,Chinese_herbal_pieces,comprehensive_score,total_score,effective_avg,high_quality_avg,ultra_high_count,high_quality_ratio
1,CHP04552,香茶菜,0.8465105057050718,378.63154468000005,0.8177787142116631,0.9146119062406016,214.0,0.5745140388768899
2,CHP01416,红豆杉,0.7726409854120472,430.49911762,0.7855823314233576,0.8782868633222591,82.0,0.5492700729927007
3,CHP01886,绞股蓝,0.7043237528268887,212.68473876999997,0.8610718168825909,0.8839450078733031,104.0,0.8947368421052632
4,CHP00689,地黄,0.660539071665833,234.9589092,0.8244172252631579,0.8967907215730336,84.0,0.624561403508772
5,CHP00341,柴胡,0.6135207802776381,226.51273257000003,0.757567667458194,0.8876648678846154,69.0,0.5217391304347826
6,CHP00168,百部,0.6024138571969551,145.66820072999997,0.8047966891160219,0.9087257312605042,85.0,0.6574585635359116
7,CHP00417,川乌,0.5948268268205448,203.42140113999997,0.759035078880597,0.899977667131783,70.0,0.48134328358208955
8,CHP02748,没药,0.5940051919163691,227.40320478,0.7814543119587629,0.8744857555214722,29.0,0.5601374570446735
9,CHP06111,灵芝,0.5940031410928519,224.17182406999999,0.792126586819788,0.869762615737705,12.0,0.6466431095406361
10,CHP00412,川贝母,0.5851008946553743,174.00594504,0.7631839694736842,0.9045880092241381,77.0,0.5087719298245614
11,CHP02254,雷公藤,0.5576920359824212,198.05443713,0.7706398331906614,0.8759173557936507,24.0,0.490272373540856
12,CHP03319,人参,0.5545777222150037,105.30725693,0.822712944765625,0.8817137289690724,38.0,0.7578125
13,CHP00014,艾叶,0.5545165624170386,272.14812938,0.685511660906801,0.8579320362184873,16.0,0.29974811083123426
14,CHP03024,牛膝,0.5532848737586766,130.25667634,0.8040535576543211,0.8792303766666667,25.0,0.7222222222222222
15,CHP01110,附子,0.5527392577457104,70.14863288999999,0.8660325048148146,0.913454105,42.0,0.7901234567901234
16,CHP03113,苹果,0.5474066469691616,0.99003947,0.99003947,0.99003947,1.0,1.0
