rank,CHP_ID,Chinese_herbal_pieces,total_score,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP01416,红豆杉,430.49911762,548.0,548.0,301.0,82.0
2,CHP04552,香茶菜,378.63154468000005,463.0,463.0,266.0,214.0
3,CHP00014,艾叶,272.14812938,397.0,397.0,119.0,16.0
4,CHP00689,地黄,234.9589092,285.0,285.0,178.0,84.0
5,CHP01118,甘草,232.80973139999998,341.0,341.0,91.0,17.0
6,CHP02748,没药,227.40320478,291.0,291.0,163.0,29.0
7,CHP00341,柴胡,226.51273257000003,299.0,299.0,156.0,69.0
8,CHP06111,灵芝,224.17182406999999,283.0,283.0,183.0,12.0
9,CHP01886,绞股蓝,212.68473876999997,247.0,247.0,221.0,104.0
10,CHP00417,川乌,203.42140113999997,268.0,268.0,129.0,70.0
11,CHP02254,雷公藤,198.05443713,257.0,257.0,126.0,24.0
12,CHP00984,番荔枝,189.89884331000002,285.0,285.0,96.0,8.0
13,CHP00216,薄荷,183.19159845,252.0,252.0,101.0,14.0
14,CHP00162,白芷,179.20825406,307.0,307.0,45.0,6.0
15,CHP00617,丹参,176.21493492000002,235.0,235.0,90.0,9.0
16,CHP00030,八角茴香,175.27852664,266.0,266.0,67.0,9.0
17,CHP00360,沉香,174.06438826000002,259.0,259.0,74.0,9.0
18,CHP00412,川贝母,174.00594504,228.0,228.0,116.0,77.0
19,CHP00513,大黄,159.31101772,205.0,205.0,108.0,5.0
20,CHP00948,莪术,158.34903307000002,226.0,226.0,65.0,5.0
21,CHP04419,五味子,155.51582353999999,239.0,239.0,60.0,17.0
22,CHP00168,百部,145.66820072999997,181.0,181.0,119.0,85.0
23,CHP00355,车前草,145.43446204999998,197.0,197.0,82.0,13.0
24,CHP00543,板蓝根,145.06877015999999,193.0,193.0,89.0,31.0
25,CHP03024,牛膝,130.25667634,162.0,162.0,117.0,25.0
26,CHP01717,黄芪,129.81635087,171.0,171.0,82.0,54.0
27,CHP01206,钩藤,125.08489786999999,174.0,174.0,71.0,22.0
28,CHP00608,大枣,121.52834236,164.0,164.0,77.0,28.0
29,CHP00274,槟榔,119.19020450999999,172.0,172.0,52.0,11.0
30,CHP00812,冬瓜皮,118.7451777,174.0,174.0,49.0,13.0
31,CHP00019,安息香,118.04999452000001,171.0,171.0,62.0,18.0
32,CHP00638,当归,117.49344427,171.0,171.0,54.0,8.0
33,CHP01516,胡芦巴,115.75128577000001,144.0,144.0,85.0,45.0
34,CHP00288,补骨脂,115.4358904,181.0,181.0,19.0,5.0
35,CHP00209,半夏,115.03500681,155.0,155.0,76.0,26.0
36,CHP05190,淫羊藿,113.91261183,165.0,165.0,49.0,0.0
37,CHP01958,金银花,113.64089899000001,146.0,146.0,77.0,39.0
