rank,CHP_ID,Chinese_herbal_pieces,adj_avg_score,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP01886,绞股蓝,0.9525513858364807,247.0,247.0,227.0,227.0
2,CHP01580,华东膜蕨,0.9350389419993012,25.0,25.0,25.0,25.0
3,CHP04174,通草,0.9331017314698687,24.0,24.0,24.0,24.0
4,CHP01245,骨碎补,0.9253159606377774,37.0,37.0,35.0,35.0
5,CHP00746,滇茜草,0.9239698529262328,31.0,31.0,29.0,29.0
6,CHP03649,蛇菰,0.9215987231026047,19.0,19.0,19.0,19.0
7,CHP04359,乌药,0.9215934389646737,19.0,19.0,19.0,19.0
8,CHP02748,没药,0.9183143957474269,291.0,291.0,251.0,250.0
9,CHP05380,泽泻,0.9164073097051628,24.0,24.0,23.0,23.0
10,CHP03683,生姜,0.9135001904703005,75.0,75.0,66.0,66.0
11,CHP03319,人参,0.9099563602896777,128.0,128.0,108.0,107.0
12,CHP03398,三七花,0.9097659035286922,24.0,24.0,22.0,22.0
13,CHP03682,升麻,0.9095931034720522,134.0,134.0,113.0,113.0
14,CHP00824,冬凌草,0.9085111703329256,50.0,50.0,45.0,45.0
15,CHP01110,附子,0.90603536890083,81.0,81.0,70.0,69.0
16,CHP06090,茯苓,0.9055025557493884,30.0,30.0,27.0,27.0
17,CHP04717,小通草,0.905265019582314,14.0,14.0,14.0,14.0
18,CHP03148,铺地蜈蚣,0.9052643887489807,14.0,14.0,14.0,14.0
19,CHP02547,麻黄根,0.9048128570959849,21.0,21.0,20.0,20.0
20,CHP00229,北沙参,0.9046617097389177,105.0,105.0,88.0,87.0
21,CHP04519,夏枯草,0.9026011748477435,23.0,23.0,21.0,20.0
22,CHP05124,夜来香,0.9019122825916865,17.0,17.0,16.0,16.0
23,CHP03673,肾茶,0.9015284808101496,27.0,27.0,25.0,25.0
24,CHP00356,车前子,0.9007336305764526,42.0,42.0,35.0,35.0
25,CHP02585,马钱子,0.9006059275505213,39.0,39.0,35.0,35.0
26,CHP04216,土贝母,0.9002327294110453,24.0,24.0,22.0,22.0
27,CHP02017,桔梗,0.8990161482566565,99.0,99.0,80.0,79.0
28,CHP05066,野茉莉,0.8966528622716153,12.0,12.0,12.0,12.0
29,CHP00939,多伞阿魏,0.8966528622716153,12.0,12.0,12.0,12.0
30,CHP03111,平贝母,0.8952838744110451,24.0,24.0,22.0,22.0
31,CHP01130,甘遂,0.8949903434243225,63.0,63.0,51.0,51.0
32,CHP00720,地榆,0.8940708660950051,95.0,95.0,80.0,80.0
33,CHP03024,牛膝,0.8937082322672996,162.0,162.0,131.0,131.0
34,CHP04458,西洋参,0.8921150257622972,49.0,49.0,42.0,42.0
35,CHP04818,续断,0.891075195700706,97.0,97.0,76.0,76.0
36,CHP03352,乳香,0.8910085575859258,77.0,77.0,64.0,64.0
37,CHP04975,羊踯躅,0.8897599707990215,15.0,15.0,14.0,14.0
38,CHP03591,山药,0.8894841334278725,25.0,25.0,22.0,22.0
39,CHP00928,多花蒿,0.8863181484987768,10.0,10.0,10.0,10.0
40,CHP02472,路路通,0.8863181484987768,10.0,10.0,10.0,10.0
41,CHP02416,龙须藤,0.8854344928940929,28.0,28.0,25.0,25.0
42,CHP03328,忍冬藤,0.8809297911529053,16.0,16.0,14.0,14.0
43,CHP02777,蒙自草胡椒,0.8803348931566072,9.0,9.0,9.0,9.0
44,CHP00281,菠菜,0.8792582299992108,21.0,21.0,18.0,18.0
45,CHP01246,瓜蒌,0.8790377799997553,90.0,90.0,69.0,66.0
46,CHP05477,知母,0.8779043304948073,91.0,91.0,72.0,72.0
47,CHP03341,肉苁蓉,0.8760983072969668,64.0,64.0,51.0,49.0
48,CHP03884,水茄,0.8743945262953903,17.0,17.0,14.0,14.0
49,CHP06111,灵芝,0.8742392993855821,283.0,283.0,214.0,206.0
50,CHP02155,款冬花,0.8740241975278149,79.0,79.0,62.0,61.0
51,CHP01076,凤眼草,0.8736868316653076,8.0,8.0,8.0,8.0
52,CHP01596,华千金藤,0.8736862066653076,8.0,8.0,8.0,8.0
53,CHP02803,密蒙花,0.8717809728883452,35.0,35.0,28.0,28.0
54,CHP04409,五气朝阳草,0.8712297352618703,9.0,9.0,9.0,8.0
55,CHP03585,山香,0.8711590086352516,12.0,12.0,11.0,11.0
56,CHP05159,益智,0.8707830986352516,12.0,12.0,11.0,11.0
57,CHP00630,淡豆豉,0.8699751969689556,23.0,23.0,18.0,18.0
58,CHP03192,牵牛子,0.8699278493872559,39.0,39.0,32.0,31.0
