rank,CHP_ID,Chinese_herbal_pieces,high_quality_ratio,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP00038,巴豆霜,1.0,1.0,1.0,1.0,1.0
2,CHP00057,白草莓,1.0,2.0,2.0,2.0,2.0
3,CHP00050,白八角莲,1.0,1.0,1.0,1.0,1.0
4,CHP00069,白椴,1.0,1.0,1.0,1.0,1.0
5,CHP02427,龙眼肉,1.0,1.0,1.0,1.0,1.0
6,CHP02130,苦绳,1.0,3.0,3.0,3.0,3.0
7,CHP02459,鹿葱,1.0,1.0,1.0,1.0,1.0
8,CHP02472,路路通,1.0,10.0,10.0,10.0,10.0
9,CHP02149,块茎糙苏,1.0,1.0,1.0,1.0,1.0
10,CHP05539,珠芽半支,1.0,2.0,2.0,2.0,2.0
11,CHP05481,栀子叶,1.0,1.0,1.0,1.0,1.0
12,CHP05435,长尾复叶耳蕨,1.0,1.0,1.0,1.0,1.0
13,CHP05461,鹧鸪菜,1.0,1.0,1.0,1.0,1.0
14,CHP05592,苎麻根,1.0,1.0,1.0,1.0,1.0
15,CHP05621,紫菜,1.0,2.0,2.0,2.0,2.0
16,CHP00225,暴马子皮,1.0,1.0,1.0,1.0,1.0
17,CHP00176,百蕊草,1.0,1.0,1.0,1.0,1.0
18,CHP02519,落葵,1.0,1.0,1.0,1.0,1.0
19,CHP02504,罗勒子,1.0,1.0,1.0,1.0,1.0
20,CHP02511,萝藦子,1.0,5.0,5.0,5.0,5.0
21,CHP02544,麻根,1.0,6.0,6.0,6.0,6.0
22,CHP02049,卷丹,1.0,1.0,1.0,1.0,1.0
23,CHP02591,马桑叶,1.0,4.0,4.0,4.0,4.0
24,CHP02561,马比木,1.0,1.0,1.0,1.0,1.0
25,CHP02563,马槟榔,1.0,2.0,2.0,2.0,2.0
26,CHP02531,绿豆皮,1.0,2.0,2.0,2.0,2.0
27,CHP02609,麦瓶草,1.0,1.0,1.0,1.0,1.0
28,CHP02589,马桑根,1.0,1.0,1.0,1.0,1.0
29,CHP01935,金雀根,1.0,1.0,1.0,1.0,1.0
30,CHP01963,金樱叶,1.0,1.0,1.0,1.0,1.0
31,CHP02707,毛葡萄,1.0,1.0,1.0,1.0,1.0
32,CHP02659,毛八角枫,1.0,1.0,1.0,1.0,1.0
33,CHP01802,鸡眼草,1.0,2.0,2.0,2.0,2.0
34,CHP01811,吉林乌头,1.0,1.0,1.0,1.0,1.0
35,CHP01856,见血飞,1.0,3.0,3.0,3.0,3.0
36,CHP02777,蒙自草胡椒,1.0,9.0,9.0,9.0,9.0
37,CHP02782,迷果芹,1.0,1.0,1.0,1.0,1.0
38,CHP02784,猕猴桃,1.0,2.0,2.0,2.0,2.0
39,CHP01868,浆果苋,1.0,1.0,1.0,1.0,1.0
40,CHP02813,绵藤,1.0,1.0,1.0,1.0,1.0
41,CHP02815,棉花,1.0,1.0,1.0,1.0,0.0
42,CHP02821,缅枣,1.0,4.0,4.0,4.0,3.0
43,CHP05353,云实,1.0,1.0,1.0,1.0,1.0
44,CHP05355,云实叶,1.0,1.0,1.0,1.0,1.0
45,CHP05304,圆柏,1.0,5.0,5.0,5.0,5.0
46,CHP05306,圆萼刺参,1.0,2.0,2.0,2.0,2.0
47,CHP00247,薜荔,1.0,2.0,2.0,2.0,2.0
48,CHP00250,篦子三尖杉,1.0,1.0,1.0,1.0,1.0
49,CHP00254,鞭打绣球,1.0,1.0,1.0,1.0,1.0
50,CHP00261,扁桃斑鸠菊,1.0,2.0,2.0,2.0,2.0
51,CHP00272,滨海前胡,1.0,2.0,2.0,2.0,2.0
52,CHP05467,真藓,1.0,1.0,1.0,1.0,1.0
53,CHP05383,泽珍珠菜,1.0,2.0,2.0,2.0,2.0
54,CHP05364,仔榄树,1.0,2.0,2.0,2.0,2.0
55,CHP02831,魔芋,1.0,1.0,1.0,1.0,1.0
56,CHP02844,牡蒿,1.0,2.0,2.0,2.0,2.0
57,CHP01748,黄紫堇,1.0,3.0,3.0,3.0,3.0
58,CHP01724,黄秦艽,1.0,2.0,2.0,2.0,2.0
59,CHP01758,茴香根,1.0,1.0,1.0,1.0,1.0
60,CHP01764,火炭母草,1.0,1.0,1.0,1.0,1.0
61,CHP01733,黄蜀葵花,1.0,1.0,1.0,1.0,1.0
62,CHP01604,华中瘤足蕨,1.0,1.0,1.0,1.0,1.0
63,CHP02987,牛扁,1.0,3.0,3.0,3.0,3.0
64,CHP02941,南蛇藤叶,1.0,1.0,1.0,1.0,1.0
65,CHP01594,华南皂荚,1.0,1.0,1.0,1.0,1.0
66,CHP01596,华千金藤,1.0,8.0,8.0,8.0,8.0
67,CHP03053,欧鼠李,1.0,2.0,2.0,2.0,2.0
68,CHP02998,牛角瓜,1.0,2.0,2.0,2.0,2.0
69,CHP03018,牛尾菜,1.0,1.0,1.0,1.0,1.0
70,CHP01708,黄缅桂,1.0,2.0,2.0,2.0,2.0
71,CHP03056,藕节,1.0,1.0,1.0,1.0,1.0
72,CHP03081,炮姜,1.0,1.0,1.0,1.0,1.0
73,CHP05175,银粉背蕨,1.0,1.0,1.0,1.0,1.0
74,CHP05195,罂粟壳,1.0,3.0,3.0,3.0,3.0
75,CHP05173,银不换,1.0,1.0,1.0,1.0,1.0
76,CHP00294,菜蓟,1.0,4.0,4.0,4.0,4.0
77,CHP05325,月见草,1.0,2.0,2.0,2.0,1.0
78,CHP05295,芋头,1.0,4.0,4.0,4.0,4.0
79,CHP05267,鱼腥草,1.0,1.0,1.0,1.0,1.0
80,CHP05274,榆树,1.0,1.0,1.0,1.0,1.0
81,CHP03110,飘拂草,1.0,1.0,1.0,1.0,1.0
82,CHP03113,苹果,1.0,1.0,1.0,1.0,1.0
83,CHP03148,铺地蜈蚣,1.0,14.0,14.0,14.0,14.0
84,CHP03212,乔木紫珠,1.0,1.0,1.0,1.0,1.0
85,CHP01580,华东膜蕨,1.0,25.0,25.0,25.0,25.0
86,CHP01546,槲叶,1.0,1.0,1.0,1.0,1.0
87,CHP03216,窃衣,1.0,1.0,1.0,1.0,1.0
88,CHP03201,茜草藤,1.0,1.0,1.0,1.0,1.0
89,CHP03306,拳参,1.0,3.0,3.0,3.0,3.0
90,CHP03257,青羊参,1.0,2.0,2.0,2.0,2.0
91,CHP03266,清明花,1.0,5.0,5.0,5.0,5.0
92,CHP01472,红楠,1.0,6.0,6.0,6.0,6.0
93,CHP01480,红雀珊瑚,1.0,2.0,2.0,2.0,2.0
94,CHP03364,瑞香根,1.0,4.0,4.0,4.0,4.0
95,CHP03375,三叉凤尾蕨,1.0,1.0,1.0,1.0,1.0
96,CHP01359,河套大黄,1.0,2.0,2.0,2.0,2.0
97,CHP03541,山蒟,1.0,2.0,2.0,2.0,2.0
98,CHP03464,砂生槐,1.0,1.0,1.0,1.0,1.0
99,CHP03453,沙枣,1.0,1.0,1.0,1.0,1.0
100,CHP03552,山萝卜,1.0,1.0,1.0,1.0,1.0
101,CHP03568,山稔叶,1.0,1.0,1.0,1.0,1.0
102,CHP01216,狗屎花,1.0,1.0,1.0,1.0,1.0
103,CHP01226,枸骨根,1.0,1.0,1.0,1.0,1.0
104,CHP04920,岩筋菜,1.0,4.0,4.0,4.0,4.0
105,CHP04933,岩乌头,1.0,1.0,1.0,1.0,1.0
106,CHP04960,羊角棉,1.0,2.0,2.0,2.0,2.0
107,CHP04972,羊蹄草,1.0,1.0,1.0,1.0,0.0
108,CHP05066,野茉莉,1.0,12.0,12.0,12.0,12.0
109,CHP05009,椰子皮,1.0,1.0,1.0,1.0,1.0
110,CHP05032,野菰,1.0,1.0,1.0,1.0,1.0
111,CHP03656,蛇婆子,1.0,3.0,3.0,3.0,3.0
112,CHP03569,山珊瑚,1.0,1.0,1.0,1.0,1.0
113,CHP03649,蛇菰,1.0,19.0,19.0,19.0,19.0
114,CHP01172,高山唐松草,1.0,3.0,3.0,3.0,3.0
115,CHP01123,甘菊,1.0,2.0,2.0,2.0,2.0
116,CHP01170,高山辣根菜,1.0,1.0,1.0,1.0,1.0
117,CHP03772,柿根,1.0,2.0,2.0,2.0,1.0
118,CHP03881,水木草,1.0,1.0,1.0,1.0,1.0
119,CHP03933,睡菜根,1.0,1.0,1.0,1.0,1.0
120,CHP01050,风箱树叶,1.0,1.0,1.0,1.0,1.0
121,CHP01054,枫香寄生,1.0,3.0,3.0,3.0,3.0
122,CHP01013,飞机草,1.0,2.0,2.0,2.0,2.0
123,CHP00994,番石榴叶,1.0,3.0,3.0,3.0,3.0
124,CHP01076,凤眼草,1.0,8.0,8.0,8.0,8.0
125,CHP00928,多花蒿,1.0,10.0,10.0,10.0,10.0
126,CHP00939,多伞阿魏,1.0,12.0,12.0,12.0,12.0
127,CHP04052,唐古特青兰,1.0,2.0,2.0,2.0,2.0
128,CHP00988,番木瓜叶,1.0,1.0,1.0,1.0,1.0
129,CHP00991,番石榴干,1.0,1.0,1.0,1.0,1.0
130,CHP00993,番石榴皮,1.0,2.0,2.0,2.0,2.0
131,CHP04021,锁阳,1.0,2.0,2.0,2.0,2.0
132,CHP04119,甜瓜蒂,1.0,4.0,4.0,4.0,4.0
133,CHP04174,通草,1.0,24.0,24.0,24.0,24.0
