rank,CHP_ID,Chinese_herbal_pieces,ultra_high_count,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP01416,红豆杉,325.0,548.0,548.0,326.0,325.0
2,CHP04552,香茶菜,278.0,463.0,463.0,278.0,278.0
3,CHP02748,没药,250.0,291.0,291.0,251.0,250.0
4,CHP01886,绞股蓝,227.0,247.0,247.0,227.0,227.0
5,CHP06111,灵芝,206.0,283.0,283.0,214.0,206.0
6,CHP00341,柴胡,202.0,299.0,299.0,204.0,202.0
7,CHP00689,地黄,192.0,285.0,285.0,192.0,192.0
8,CHP02254,雷公藤,188.0,257.0,257.0,189.0,188.0
9,CHP00014,艾叶,181.0,397.0,397.0,187.0,181.0
10,CHP00617,丹参,179.0,235.0,235.0,181.0,179.0
11,CHP01118,甘草,176.0,341.0,341.0,180.0,176.0
12,CHP04419,五味子,174.0,239.0,239.0,174.0,174.0
13,CHP00417,川乌,152.0,268.0,268.0,152.0,152.0
14,CHP00984,番荔枝,146.0,285.0,285.0,150.0,146.0
15,CHP00360,沉香,137.0,259.0,259.0,137.0,137.0
16,CHP00216,薄荷,134.0,252.0,252.0,142.0,134.0
17,CHP00412,川贝母,133.0,228.0,228.0,135.0,133.0
18,CHP00948,莪术,131.0,226.0,226.0,136.0,131.0
19,CHP03024,牛膝,131.0,162.0,162.0,131.0,131.0
20,CHP00513,大黄,127.0,205.0,205.0,127.0,127.0
21,CHP00168,百部,123.0,181.0,181.0,123.0,123.0
22,CHP00030,八角茴香,120.0,266.0,266.0,123.0,120.0
23,CHP00162,白芷,119.0,307.0,307.0,127.0,119.0
24,CHP00543,板蓝根,117.0,193.0,193.0,127.0,117.0
25,CHP03682,升麻,113.0,134.0,134.0,113.0,113.0
26,CHP01717,黄芪,110.0,171.0,171.0,111.0,110.0
27,CHP03319,人参,107.0,128.0,128.0,108.0,107.0
28,CHP00608,大枣,106.0,164.0,164.0,109.0,106.0
29,CHP03423,桑白皮,103.0,147.0,147.0,104.0,103.0
30,CHP05190,淫羊藿,103.0,165.0,165.0,103.0,103.0
31,CHP00355,车前草,102.0,197.0,197.0,103.0,102.0
32,CHP00288,补骨脂,102.0,181.0,181.0,104.0,102.0
33,CHP01958,金银花,99.0,146.0,146.0,99.0,99.0
34,CHP01516,胡芦巴,96.0,144.0,144.0,96.0,96.0
35,CHP01206,钩藤,96.0,174.0,174.0,96.0,96.0
36,CHP01236,枸杞子,92.0,137.0,137.0,92.0,92.0
37,CHP00812,冬瓜皮,87.0,174.0,174.0,88.0,87.0
38,CHP00229,北沙参,87.0,105.0,105.0,88.0,87.0
39,CHP00209,半夏,87.0,155.0,155.0,91.0,87.0
40,CHP02098,苦丁茶,85.0,127.0,127.0,87.0,85.0
41,CHP00170,百合,84.0,137.0,137.0,85.0,84.0
42,CHP00638,当归,84.0,171.0,171.0,84.0,84.0
43,CHP01425,红花,83.0,114.0,114.0,85.0,83.0
44,CHP02298,连翘,83.0,116.0,116.0,86.0,83.0
45,CHP02176,辣木,82.0,118.0,118.0,85.0,82.0
46,CHP03229,青蒿,80.0,120.0,120.0,83.0,80.0
47,CHP00720,地榆,80.0,95.0,95.0,80.0,80.0
48,CHP02017,桔梗,79.0,99.0,99.0,80.0,79.0
49,CHP00306,藏红花,78.0,134.0,134.0,79.0,78.0
50,CHP00121,白毛藤,78.0,121.0,121.0,78.0,78.0
51,CHP00037,巴豆,76.0,137.0,137.0,78.0,76.0
52,CHP04818,续断,76.0,97.0,97.0,76.0,76.0
53,CHP01898,芥子,75.0,136.0,136.0,76.0,75.0
54,CHP00274,槟榔,74.0,172.0,172.0,76.0,74.0
55,CHP03635,芍药,73.0,107.0,107.0,73.0,73.0
56,CHP01515,胡椒,73.0,134.0,134.0,74.0,73.0
57,CHP05319,远志,73.0,120.0,120.0,73.0,73.0
58,CHP00151,白鲜皮,72.0,117.0,117.0,72.0,72.0
59,CHP05477,知母,72.0,91.0,91.0,72.0,72.0
60,CHP00003,阿魏,72.0,133.0,133.0,73.0,72.0
61,CHP02090,苦参,71.0,94.0,94.0,71.0,71.0
62,CHP04565,香加皮,70.0,106.0,106.0,70.0,70.0
63,CHP00019,安息香,70.0,171.0,171.0,72.0,70.0
64,CHP00419,川芎,69.0,127.0,127.0,69.0,69.0
