rank,CHP_ID,Chinese_herbal_pieces,high_quality_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP00023,暗紫贝母,1.0,11.0,11.0,4.0,4.0
2,CHP05964,牛肾,1.0,6.0,6.0,2.0,2.0
3,CHP02511,萝藦子,1.0,5.0,5.0,5.0,5.0
4,CHP02494,罗锅底,1.0,9.0,9.0,5.0,5.0
5,CHP02457,陆英,1.0,2.0,2.0,1.0,1.0
6,CHP02459,鹿葱,1.0,1.0,1.0,1.0,1.0
7,CHP02463,鹿角菜,1.0,7.0,7.0,4.0,4.0
8,CHP02469,鹿衔草,1.0,11.0,11.0,7.0,7.0
9,CHP02519,落葵,1.0,1.0,1.0,1.0,1.0
10,CHP02520,落葵花,1.0,9.0,9.0,7.0,7.0
11,CHP02500,罗汉松实,1.0,17.0,17.0,9.0,9.0
12,CHP02504,罗勒子,1.0,1.0,1.0,1.0,1.0
13,CHP02371,柳穿鱼,1.0,9.0,9.0,4.0,4.0
14,CHP02313,莲子草,1.0,8.0,8.0,4.0,4.0
15,CHP02333,亮叶桦皮,1.0,3.0,3.0,2.0,2.0
16,CHP02337,辽东楤木,1.0,19.0,19.0,9.0,9.0
17,CHP02339,蓼实,1.0,2.0,2.0,2.0,2.0
18,CHP02516,落地生根,1.0,5.0,5.0,4.0,4.0
19,CHP02427,龙眼肉,1.0,1.0,1.0,1.0,1.0
20,CHP02429,龙眼叶,1.0,6.0,6.0,3.0,3.0
21,CHP02439,耧斗菜,1.0,16.0,16.0,10.0,10.0
22,CHP02342,裂果薯,1.0,17.0,17.0,9.0,9.0
23,CHP02355,铃兰,1.0,20.0,20.0,10.0,10.0
24,CHP02356,凌霄,1.0,6.0,6.0,2.0,2.0
25,CHP05563,竹柏根,1.0,4.0,4.0,2.0,2.0
26,CHP05499,枳椇子,1.0,5.0,5.0,1.0,1.0
27,CHP05467,真藓,1.0,1.0,1.0,1.0,1.0
28,CHP05481,栀子叶,1.0,1.0,1.0,1.0,1.0
29,CHP05581,竹叶柴胡,1.0,2.0,2.0,1.0,1.0
30,CHP05592,苎麻根,1.0,1.0,1.0,1.0,1.0
31,CHP05612,梓木,1.0,7.0,7.0,1.0,1.0
32,CHP05615,梓叶,1.0,21.0,21.0,13.0,13.0
33,CHP05548,猪毛蒿,1.0,3.0,3.0,1.0,1.0
34,CHP05557,猪鬃草,1.0,17.0,17.0,11.0,11.0
35,CHP00178,百眼藤,1.0,5.0,5.0,1.0,1.0
36,CHP00156,白叶藤,1.0,2.0,2.0,1.0,1.0
37,CHP05634,紫红獐牙菜,1.0,8.0,8.0,3.0,3.0
38,CHP05635,紫花地丁,1.0,4.0,4.0,1.0,1.0
39,CHP05638,紫花景天,1.0,3.0,3.0,1.0,1.0
40,CHP00213,榜嘎,1.0,5.0,5.0,3.0,3.0
41,CHP00222,报春花,1.0,2.0,2.0,1.0,1.0
42,CHP00223,抱茎獐牙菜,1.0,8.0,8.0,4.0,4.0
43,CHP00225,暴马子皮,1.0,1.0,1.0,1.0,1.0
44,CHP00191,斑鸠菊,1.0,22.0,22.0,13.0,13.0
45,CHP00208,半枫荷,1.0,3.0,3.0,2.0,2.0
46,CHP00176,百蕊草,1.0,1.0,1.0,1.0,1.0
47,CHP00235,贝母兰,1.0,6.0,6.0,1.0,1.0
48,CHP05329,越橘叶,1.0,3.0,3.0,2.0,2.0
49,CHP05338,云南甘草,1.0,14.0,14.0,8.0,8.0
50,CHP05355,云实叶,1.0,1.0,1.0,1.0,1.0
