rank,CHP_ID,Chinese_herbal_pieces,ultra_high_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP00023,暗紫贝母,1.0,11.0,11.0,4.0,4.0
2,CHP05964,牛肾,1.0,6.0,6.0,2.0,2.0
3,CHP00057,白草莓,1.0,2.0,2.0,2.0,2.0
4,CHP00050,白八角莲,1.0,1.0,1.0,1.0,1.0
5,CHP05919,鹿角,1.0,2.0,2.0,1.0,1.0
6,CHP05841,海螵蛸,1.0,2.0,2.0,1.0,1.0
7,CHP05843,海燕,1.0,2.0,2.0,2.0,2.0
8,CHP05877,鸡胆,1.0,2.0,2.0,2.0,2.0
9,CHP00049,霸王鞭,1.0,20.0,20.0,10.0,10.0
10,CHP05831,龟甲,1.0,5.0,5.0,2.0,1.0
11,CHP02670,毛大丁草,1.0,9.0,9.0,2.0,2.0
12,CHP02675,毛冬青,1.0,5.0,5.0,3.0,3.0
13,CHP02685,毛诃子,1.0,5.0,5.0,2.0,2.0
14,CHP02696,毛连菜,1.0,4.0,4.0,2.0,2.0
15,CHP02644,芒萁骨,1.0,2.0,2.0,1.0,1.0
16,CHP02649,莽草根,1.0,2.0,2.0,1.0,1.0
17,CHP02707,毛葡萄,1.0,1.0,1.0,1.0,1.0
18,CHP02713,毛蕊花,1.0,5.0,5.0,3.0,3.0
19,CHP02716,毛桐,1.0,11.0,11.0,2.0,1.0
20,CHP02739,茅膏菜,1.0,3.0,3.0,2.0,2.0
21,CHP02745,茅莓,1.0,2.0,2.0,1.0,1.0
22,CHP02746,茅香,1.0,2.0,2.0,1.0,1.0
23,CHP02749,玫瑰,1.0,3.0,3.0,1.0,1.0
24,CHP02663,毛草龙,1.0,6.0,6.0,3.0,3.0
25,CHP02609,麦瓶草,1.0,1.0,1.0,1.0,1.0
26,CHP02567,马蛋果,1.0,2.0,2.0,1.0,1.0
27,CHP02589,马桑根,1.0,1.0,1.0,1.0,1.0
28,CHP02545,麻花,1.0,6.0,6.0,3.0,3.0
29,CHP02554,麻牛膝,1.0,15.0,15.0,7.0,7.0
30,CHP02540,绿玉树,1.0,2.0,2.0,1.0,1.0
31,CHP02769,美人蕉,1.0,4.0,4.0,2.0,2.0
32,CHP02781,迷迭香,1.0,10.0,10.0,5.0,5.0
33,CHP02597,马先蒿,1.0,2.0,2.0,1.0,1.0
34,CHP02600,马银花,1.0,2.0,2.0,1.0,1.0
35,CHP05563,竹柏根,1.0,4.0,4.0,2.0,2.0
36,CHP05499,枳椇子,1.0,5.0,5.0,1.0,1.0
37,CHP00254,鞭打绣球,1.0,1.0,1.0,1.0,1.0
38,CHP00261,扁桃斑鸠菊,1.0,2.0,2.0,2.0,2.0
39,CHP00269,遍地金,1.0,4.0,4.0,2.0,1.0
40,CHP05592,苎麻根,1.0,1.0,1.0,1.0,1.0
41,CHP05612,梓木,1.0,7.0,7.0,1.0,1.0
42,CHP05615,梓叶,1.0,21.0,21.0,13.0,13.0
43,CHP05548,猪毛蒿,1.0,3.0,3.0,1.0,1.0
44,CHP05553,猪屎豆,1.0,3.0,3.0,2.0,1.0
45,CHP05557,猪鬃草,1.0,17.0,17.0,11.0,11.0
46,CHP00156,白叶藤,1.0,2.0,2.0,1.0,1.0
47,CHP05634,紫红獐牙菜,1.0,8.0,8.0,3.0,3.0
48,CHP05635,紫花地丁,1.0,4.0,4.0,1.0,1.0
49,CHP05638,紫花景天,1.0,3.0,3.0,1.0,1.0
50,CHP05581,竹叶柴胡,1.0,2.0,2.0,1.0,1.0
