herb_rank,herb_name,CHP_ID,compound_rank,InChIKey,SMILES,predicted_probability
1,葛蕈,CHP01193,1,SBHXVBQFPRWFAC-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)c(O)c1)OC1OC(CO)C(O)C(O)C1OC(=O)C=Cc1ccc(O)c(O)c1,0.99940574
1,葛蕈,CHP01193,2,FENFABQIKVXSMR-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)c(OC2OC(CO)C(O)C(O)C2O)c1)OC1OC(CO)C(O)C(O)C1O,0.99902314
1,葛蕈,CHP01193,3,DJEHBAATIXBFIY-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)c(O)c1)OC1OC(CO)C(OC(=O)c2cc(O)c(O)c(O)c2)C(OC(=O)C=Cc2ccc(O)c(O)c2)C1O,0.9980875
1,葛蕈,CHP01193,4,SBBBRSIXPCDQAG-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)c(O)c1)OC1OC(CO)C(O)C(OC(=O)c2cc(O)c(O)c(O)c2)C1O,0.99711704
1,葛蕈,CHP01193,5,IBBFQDJMEDTWOD-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)c(O)c1)OC1C(O)C(O)OC(CO)C1OC(=O)c1cc(O)c(O)c(O)c1,0.9971159
1,葛蕈,CHP01193,6,HLZYMQVTDCUYPD-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)c(O)c1)OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C(O)C1O,0.9945463
1,葛蕈,CHP01193,7,PKUIQPGQNIMHEJ-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)cc1)OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C(O)C1O,0.9939545
1,葛蕈,CHP01193,8,XTFLDMSXWVBSOB-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)c(O)c1)OC1C(O)C(OC(=O)c2cc(O)c(O)c(O)c2)OC(CO)C1OC(=O)c1cc(O)c(O)c(O)c1,0.99351484
1,葛蕈,CHP01193,9,RMWLMWGSYVZUQG-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)c(O)c1)OC1OC(CO)C(OC(=O)c2cc(O)c(O)c(O)c2)C(OC(=O)c2cc(O)c(O)c(O)c2)C1O,0.9934603
1,葛蕈,CHP01193,10,YSKBQCUOPDXDNF-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)c(O)c1)OC1OC(COC(=O)c2cc(O)c(O)c(O)c2)C(OC(=O)c2cc(O)c(O)c(O)c2)C(O)C1O,0.99278736
