rank,CHP_ID,Chinese_herbal_pieces,effective_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP05837,海参,0.9990581,1.0,1.0,1.0,1.0
2,CHP05683,紫藤,0.99868315,1.0,1.0,1.0,1.0
3,CHP06040,象骨,0.9980998,1.0,1.0,1.0,1.0
4,CHP00763,吊兰,0.99793494,1.0,1.0,1.0,1.0
5,CHP04598,香樟叶,0.9977684,1.0,1.0,1.0,1.0
6,CHP05495,枳椇根,0.997711,1.0,1.0,1.0,1.0
7,CHP04604,向日葵花,0.99755955,1.0,1.0,1.0,1.0
8,CHP02525,驴蹄草,0.99704444,1.0,1.0,1.0,1.0
9,CHP04215,土百部,0.9967785,1.0,1.0,1.0,1.0
10,CHP01086,芙蓉花,0.9967729,1.0,1.0,1.0,1.0
11,CHP04992,洋葱,0.9961541,1.0,1.0,1.0,1.0
12,CHP03741,石楠,0.9960944,1.0,1.0,1.0,1.0
13,CHP06157,琥珀,0.9954551,1.0,1.0,1.0,1.0
14,CHP05463,珍珠菜,0.9952595500000001,2.0,2.0,2.0,2.0
15,CHP01063,凤凰木,0.994228,1.0,1.0,1.0,1.0
16,CHP04059,桃根,0.99409455,1.0,1.0,1.0,1.0
17,CHP05004,药西瓜,0.99370325,1.0,1.0,1.0,1.0
18,CHP04325,文冠木,0.9935469860000001,5.0,5.0,5.0,5.0
19,CHP05796,灯心柳珊瑚,0.9934336,1.0,1.0,1.0,1.0
20,CHP05198,鹰不泊,0.99335116,1.0,1.0,1.0,1.0
21,CHP04543,线叶金鸡菊,0.99310672,2.0,2.0,2.0,2.0
22,CHP04385,芜菁甘蓝,0.9929167,1.0,1.0,1.0,1.0
23,CHP05007,椰子,0.9916122325,4.0,4.0,4.0,4.0
24,CHP03299,驱虫斑鸠菊,0.9911028,1.0,1.0,1.0,1.0
25,CHP01849,假细锥香茶菜,0.9907426,4.0,4.0,4.0,4.0
26,CHP05694,紫薇叶,0.9902245,1.0,1.0,1.0,1.0
27,CHP03567,山棯叶,0.99016315,1.0,1.0,1.0,1.0
28,CHP03767,莳萝子,0.9892425362499999,8.0,8.0,8.0,8.0
29,CHP05610,姊妹树,0.98898715,1.0,1.0,1.0,1.0
30,CHP05345,云南菟丝子,0.988796375,2.0,2.0,2.0,2.0
31,CHP02815,棉花,0.98863375,1.0,1.0,1.0,1.0
32,CHP01072,凤仙花,0.9880632,1.0,1.0,1.0,1.0
33,CHP00130,白牛胆,0.9879821,1.0,1.0,1.0,1.0
34,CHP04481,细香葱,0.98603517,1.0,1.0,1.0,1.0
35,CHP05408,樟脑,0.98408777,1.0,1.0,1.0,1.0
36,CHP05848,黑蚂蚁,0.98314124,1.0,1.0,1.0,1.0
37,CHP02539,绿笋片,0.98195682,2.0,2.0,2.0,2.0
38,CHP03015,牛舌头,0.98131436,1.0,1.0,1.0,1.0
39,CHP05555,猪殃殃,0.98093312,2.0,2.0,2.0,2.0
40,CHP02470,路边姜,0.975397362,5.0,5.0,5.0,5.0
41,CHP03810,薯莨,0.9745488,1.0,1.0,1.0,1.0
42,CHP02120,苦楝实,0.97444045,3.0,3.0,3.0,3.0
43,CHP03184,千年艾,0.9732086,1.0,1.0,1.0,1.0
44,CHP03772,柿根,0.9671219799999999,2.0,2.0,2.0,2.0
45,CHP01941,金丝梅,0.9670967,1.0,1.0,1.0,1.0
46,CHP05887,鸡子白,0.9669668,1.0,1.0,1.0,1.0
47,CHP01028,榧子,0.96651447,1.0,1.0,1.0,1.0
48,CHP02149,块茎糙苏,0.9647581,1.0,1.0,1.0,1.0
49,CHP02293,栗树皮,0.96341473,2.0,2.0,2.0,2.0
50,CHP06118,木耳,0.96109456,1.0,1.0,1.0,1.0
51,CHP01193,葛蕈,0.96053664625,16.0,16.0,15.0,15.0
52,CHP01610,化香树果,0.9605362,1.0,1.0,1.0,1.0
53,CHP00897,短小蛇根草,0.9592597,1.0,1.0,1.0,1.0
54,CHP04577,香青兰,0.9545407533333333,3.0,3.0,3.0,3.0
55,CHP00648,倒地铃,0.95399797,1.0,1.0,1.0,1.0
56,CHP04777,新疆藁本,0.95256287,2.0,2.0,2.0,2.0
57,CHP00289,补血草,0.94704646,1.0,1.0,1.0,1.0
58,CHP03970,松叶,0.94568495,4.0,4.0,4.0,4.0
59,CHP02182,兰花,0.9441135166666667,3.0,3.0,3.0,3.0
60,CHP03105,辟汗草,0.9426265,1.0,1.0,1.0,1.0
61,CHP00640,当药,0.9426023066666668,3.0,3.0,3.0,2.0
62,CHP04233,土连翘,0.9384195,1.0,1.0,1.0,1.0
63,CHP01555,虎尾兰,0.937387375,2.0,2.0,2.0,1.0
64,CHP05105,野芝麻根,0.93212705375,8.0,8.0,8.0,7.0
65,CHP04880,鸭跖草,0.929249255,4.0,4.0,3.0,3.0
